[2025-10-05 15:14:14,587 - cnn_classifier - INFO - Testing the package]
[2025-10-05 15:25:51,453 - cnn_classifier - INFO - Testing the package]
[2025-10-08 23:00:28,730 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-08 23:00:28,755 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-08 23:00:28,760 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-08 23:07:49,252 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-08 23:07:49,256 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-08 23:07:49,259 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-08 23:08:10,066 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-08 23:08:10,070 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-08 23:08:10,072 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-08 23:08:10,074 - cnn_classifier - INFO - created directory at:artifacts/data_ingestion]
[2025-10-08 23:08:10,076 - cnn_classifier - INFO - Downloading file from :https://drive.google.com/file/d/1SxC8AFRJO0TwDWjNs9yZR4WOO6oq0jmr/view?usp=sharing into file :artifacts\data_ingestion\data.zip]
[2025-10-08 23:10:26,270 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-08 23:10:26,273 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-08 23:10:26,275 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-08 23:10:26,277 - cnn_classifier - INFO - created directory at:artifacts/data_ingestion]
[2025-10-08 23:10:26,280 - cnn_classifier - INFO - Downloading file from :https://drive.google.com/file/d/1SxC8AFRJO0TwDWjNs9yZR4WOO6oq0jmr/view?usp=sharing into file :artifacts\data_ingestion\data.zip]
[2025-10-08 23:13:04,308 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-08 23:13:04,313 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-08 23:13:04,316 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-08 23:13:04,318 - cnn_classifier - INFO - created directory at:artifacts/data_ingestion]
[2025-10-08 23:13:04,320 - cnn_classifier - INFO - Downloading file from :https://drive.google.com/file/d/1SxC8AFRJO0TwDWjNs9yZR4WOO6oq0jmr/view?usp=sharing into file :artifacts\data_ingestion\data.zip]
[2025-10-09 10:32:40,048 - cnn_classifier - INFO - yaml file:config\config.yaml loaded successfully]
[2025-10-09 10:32:40,051 - cnn_classifier - INFO - yaml file:params.yaml loaded successfully]
[2025-10-09 10:32:40,054 - cnn_classifier - INFO - created directory at:artifacts]
[2025-10-09 10:32:40,058 - cnn_classifier - INFO - created directory at:artifacts/data_ingestion]
[2025-10-09 10:32:40,061 - cnn_classifier - INFO - Downloading file from :https://drive.google.com/file/d/1SxC8AFRJO0TwDWjNs9yZR4WOO6oq0jmr/view?usp=sharing into file :artifacts\data_ingestion\data.zip]
